id_municipio,id_municipio6,nome,nome_metro,nome_rm,primeira_dose,imune,populacao,territorio,per_1dose,per_imuni
1100015,110001,Alta Floresta D'Oeste,NA,NA,13309,5732,22728,NA,0.5855772615276311,0.25219992960225274
1100023,110002,Ariquemes,NA,NA,65051,23990,109523,NA,0.5939483030961533,0.21904074943162624
1100031,110003,Cabixi,NA,NA,3888,1753,5188,NA,0.7494217424826523,0.3378951426368543
1100049,110004,Cacoal,NA,NA,64290,25089,85893,NA,0.7484893996018301,0.29209597988194613
1100056,110005,Cerejeiras,NA,NA,10680,4417,16204,NA,0.6590965193779313,0.2725870155517156
1100064,110006,Colorado do Oeste,NA,NA,11081,4699,15544,NA,0.7128795676788472,0.3023031394750386
1100072,110007,Corumbiara,NA,NA,5106,1804,7220,NA,0.707202216066482,0.24986149584487535
1100080,110008,Costa Marques,NA,NA,7456,3603,18798,NA,0.3966379402064049,0.19166932652409832
1100098,110009,Espigão D'Oeste,NA,NA,19765,6714,32695,NA,0.6045266860376204,0.20535250038232145
1100106,110010,Guajará-Mirim,NA,NA,24426,8477,46556,NA,0.5246584758140733,0.182081793968554
1100114,110011,Jaru,NA,NA,37450,15271,51620,NA,0.7254939945757458,0.295834947694692
1100122,110012,Ji-Paraná,NA,NA,76913,29871,130009,NA,0.59159750478813,0.2297610165450084
1100130,110013,Machadinho D'Oeste,NA,NA,18545,8560,40867,NA,0.45378912080651873,0.20945995546528984
1100148,110014,Nova Brasilândia D'Oeste,NA,NA,11520,4624,20489,NA,0.562252916198936,0.2256820733076285
1100155,110015,Ouro Preto do Oeste,NA,NA,22991,8257,35737,NA,0.643338836499986,0.23104905280241766
1100189,110018,Pimenta Bueno,NA,NA,25406,10465,36881,NA,0.6888641848106071,0.28375044060627425
1100205,110020,Porto Velho,NA,NA,315309,134024,539354,NA,0.584604916251664,0.2484898600918877
1100254,110025,Presidente Médici,NA,NA,14420,5388,18571,NA,0.7764794572182435,0.2901297722255129
1100262,110026,Rio Crespo,NA,NA,2304,946,3804,NA,0.6056782334384858,0.24868559411146163
1100288,110028,Rolim de Moura,NA,NA,39883,12502,55407,NA,0.7198187954590575,0.22563935964769793
1100296,110029,Santa Luzia D'Oeste,NA,NA,5304,1579,6216,NA,0.8532818532818532,0.254021879021879
1100304,110030,Vilhena,NA,NA,62275,19114,102211,NA,0.6092788447427381,0.1870053125397462
1100320,110032,São Miguel do Guaporé,NA,NA,10570,4131,23077,NA,0.4580318065606448,0.179009403301989
1100338,110033,Nova Mamoré,NA,NA,12014,3619,31392,NA,0.38270897043832824,0.1152841488277268
1100346,110034,Alvorada D'Oeste,NA,NA,8621,3076,14106,NA,0.6111583723238339,0.218063235502623
1100379,110037,Alto Alegre dos Parecis,NA,NA,7459,2658,13255,NA,0.5627310448887213,0.20052810260279139
1100403,110040,Alto Paraíso,NA,NA,8801,3892,21847,NA,0.4028470728246441,0.1781480294777315
